DATE,NA000334Q
2010-01-01,3592249.0
2010-04-01,3744069.0
2010-07-01,3778575.0
2010-10-01,3877159.0
2011-01-01,3748311.0
2011-04-01,3881126.0
2011-07-01,3913784.0
2011-10-01,3999363.0
2012-01-01,3947585.0
2012-04-01,4036139.0
2012-07-01,4071213.0
2012-10-01,4142070.0
2013-01-01,4049584.0
2013-04-01,4163863.0
2013-07-01,4234415.0
2013-10-01,4336990.0
2014-01-01,4193475.0
2014-04-01,4355448.0
2014-07-01,4449960.0
2014-10-01,4528375.0
2015-01-01,4393454.0
2015-04-01,4564400.0
2015-07-01,4614854.0
2015-10-01,4665593.0
2016-01-01,4499936.0
2016-04-01,4677266.0
2016-07-01,4741738.0
2016-10-01,4826136.0
2017-01-01,4664696.0
2017-04-01,4872720.0
2017-07-01,4946231.0
2017-10-01,5059332.0
2018-01-01,4932159.0
2018-04-01,5154603.0
2018-07-01,5219546.0
2018-10-01,5305554.0
2019-01-01,5132160.0
2019-04-01,5357342.0
2019-07-01,5415390.0
2019-10-01,5528336.0
2020-01-01,5245520.0
2020-04-01,4901784.0
2020-07-01,5323673.0
2020-10-01,5479924.0
