BCKGI1,BCKGI3,BCKGI2,BCKGI5,FCsthree0,FCthree01,FCthree1,FCsix0,FCsix01,FCsix1,FCtwelve,FCtwelve01,FCtwelve1,AQ1,AQ2,AQ3,AQ4[SQ001],AQ4[SQ002],AQ4[SQ003],AQ5
Bachelor,23,Female,Austria,DEP,0.8,82,AP,0.85,83,AP,0.87,75,85,100,0,Yes,No,No,Realist
Bachelor,20,Female,Austria,AP,1.3,25,AP,1.35,25,AP,1.4,25,80,50,0,No,No,Yes,Realist
Bachelor,19,Female,Austria,DEP,1.16,30,AP,1.05,30,AP,0.9,10,10,10,more than 2,No,No,Yes,Optimist
Bachelor,20,Female,Austria,,,,,,,,,,,,,N/A,N/A,N/A,
Bachelor,21,Female,Austria,AP,1.2199,30,,,,,,,,,,N/A,N/A,N/A,
Master,26,Male,Bulgaria,,,,,,,,,,,,,N/A,N/A,N/A,
Bachelor,21,Female,Bulgaria,AP,1.13,40,AP,1.14,50,AP,1.21,60,90,70,0,No,Yes,No,Realist
Bachelor,21,Female,Bulgaria,AP,1.2,0,AP,0.9,20,AP,0.95,33,0,0,0,No,No,Yes,Realist
Bachelor,21,Male,Bulgaria,AP,0.85,60,,,,,,,,,,N/A,N/A,N/A,
Bachelor,20,Female,Bulgaria,,,,,,,,,,,,,N/A,N/A,N/A,
Bachelor,22,Male,Bulgaria,AP,1.5,100,,,,,,,,,,N/A,N/A,N/A,
Bachelor,20,Male,Bulgaria,AP,1.245,50,,,,,,,,,,N/A,N/A,N/A,
Bachelor,21,Male,Bulgaria,,,,,,,,,,,,,N/A,N/A,N/A,
Bachelor,21,Male,Bulgaria,AP,1.28,70,,,,,,,,,,N/A,N/A,N/A,
Bachelor,21,Male,Bulgaria,DEP,0.8,60,,,,,,,,,,N/A,N/A,N/A,
Master,24,Male,Germany,,,,,,,,,,,,,N/A,N/A,N/A,
Master,24,Female,Denmark,,,,,,,,,,,,,N/A,N/A,N/A,
Master,24,Male,Denmark,AP,1.2195,90,AP,1.3,85,AP,1.31,85,95,95,2,Yes,No,No,Realist
