"""What is your de.."" ,""How old are you?"",""What is your ge.. "",""Take your time .. "",""Take you time a.. "",""How confident a.. "",""Take your time .. "",""Take you time a.. "",""How confident a.. "",""Take your time .. "",""Take you time a.. "",""How confident a.. "",""How confident a.. "",""How confident a.. "",""How many financ.. "",""How would you d.. """
"""Bachelor"",""22"",""Female"","""","""","""","""","""","""","""","""","""","""","""","""","""""
"""Master"",""23"",""Female"",""The EUR will appreciate."",""1.4"",""50"",""The EUR will appreciate."",""1.3"",""50"",""The EUR will appreciate."",""1.33"",""50"",""30"",""30"",""0"",""Optimist"""
"""Master"",""25"",""Male"",""The EUR will depreciate."",""1.22"",""50"",""The EUR will depreciate."",""1.23"",""40"",""The EUR will depreciate."",""1.24"",""30"",""50"",""40"",""0"",""Realist"""
"""Bachelor"",""24"",""Female"",""The EUR will depreciate."",""1.19"",""100"",""The EUR will appreciate."",""1.23"",""70"",""The EUR will appreciate."",""1.25"",""90"",""0"",""0"",""0"",""Realist"""
"""Master"",""25"",""Male"","""","""","""","""","""","""","""","""","""","""","""","""","""""
"""Master"",""23"",""Male"",""The EUR will depreciate."",""1.15"",""30"",""The EUR will appreciate."",""1.26"",""25"",""The EUR will depreciate."",""1.18"",""60"",""75"",""80"",""2"",""Realist"""
"""Master"",""23"",""Male"",""The EUR will depreciate."",""1.18"",""40"",""The EUR will appreciate."",""1.25"",""40"",""The EUR will appreciate."",""1.25"",""40"",""50"",""60"",""2"",""Optimist"""
"""Master"",""23"",""Male"",""The EUR will depreciate."",""1.18"",""70"",""The EUR will depreciate."",""1.15"",""85"",""The EUR will depreciate."",""1.1"",""90"",""70"",""70"",""2"",""Realist"""
"""Bachelor"",""24"",""Male"",""The EUR will depreciate."",""1.15"",""50"",""The EUR will appreciate."",""1.25"",""50"",""The EUR will appreciate."",""1.25"",""50"",""50"",""50"",""1"",""Realist"""
"""Bachelor"",""21"",""Male"",""The EUR will depreciate."",""1.1"",""20"",""The EUR will depreciate."",""1.09"",""10"",""The EUR will depreciate."",""1.085"",""5"",""10"",""10"",""0"",""Realist"""
"""Bachelor"",""22"",""Female"",""The EUR will depreciate."",""1.1"",""70"",""The EUR will appreciate."",""1.1"",""70"",""The EUR will appreciate."",""1.25"",""70"",""30"",""50"",""0"",""Realist"""
"""Bachelor"",""21"",""Female"",""The EUR will appreciate."",""1.2"",""25"",""The EUR will appreciate."",""1.2"",""15"",""The EUR will depreciate."",""1.22"",""25"",""50"",""70"",""0"",""Optimist"""
"""Bachelor"",""22"",""Male"",""The EUR will depreciate."",""1.32"",""68"",""The EUR will depreciate."",""1.45"",""54"",""The EUR will depreciate."",""1.57"",""24"",""68"",""75"",""0"",""Realist"""
"""Bachelor"",""21"",""Male"",""The EUR will appreciate."",""1.23"",""70"",""The EUR will appreciate."",""1.24"",""65"",""The EUR will depreciate."",""1.24"",""65"",""75"",""85"",""1"",""Realist"""
"""Bachelor"",""23"",""Male"",""The EUR will appreciate."",""1.35"",""50"",""The EUR will appreciate."",""1.5"",""50"",""The EUR will appreciate."",""1.8"",""50"",""75"",""80"",""1"",""Pessimist"""
"""Bachelor"",""20"",""Male"",""The EUR will depreciate."",""1.15"",""60"",""The EUR will depreciate."",""1.14"",""50"",""The EUR will depreciate."",""1.13"",""40"",""75"",""65"",""1"",""Realist"""
"""Bachelor"",""19"",""Female"","""","""","""","""","""","""","""","""","""","""","""","""","""""
"""Bachelor"",""21"",""Male"",""The EUR will appreciate."",""1.25"",""70"",""The EUR will depreciate."",""1.15"",""60"",""The EUR will depreciate."",""1.12"",""40"",""40"",""40"",""2"",""Realist"""
"""Bachelor"",""22"",""Female"",""The EUR will depreciate."",""1.22"",""67"",""The EUR will depreciate."",""1.22"",""70"",""The EUR will appreciate."",""1.2"",""55"",""40"",""60"",""0"",""Pessimist"""
"""Bachelor"",""22"",""Female"",""The EUR will depreciate."",""2"",""0"",""The EUR will appreciate."",""2"",""0"",""The EUR will appreciate."",""2"",""0"","""","""","""","""""
"""Bachelor"",""22"",""Male"",""The EUR will appreciate."",""1.23"",""70"",""The EUR will depreciate."",""1.19"",""65"",""The EUR will depreciate."",""1.18"",""50"",""80"",""80"",""1"",""Realist"""
"""Bachelor"",""24"",""Male"",""The EUR will appreciate."",""1.31"",""1"",""The EUR will depreciate."",""1.15"",""1"",""The EUR will depreciate."",""1.1"",""1"",""50"",""60"",""0"",""Realist"""
"""Bachelor"",""20"",""Male"",""The EUR will appreciate."",""1.22"",""22"",""The EUR will depreciate."",""1.19"",""22"",""The EUR will appreciate."",""1.22"",""22"",""15"",""15"",""0"",""Realist"""
