"What is your de.. ,""How old are you?"",""What is your ge.. "",""What do you bel.. "",""How many USD wi.. "",""How confident a.. "",""What do you bel.. "",""How many USD wi.. "",""How confident a.. "",""What do you bel.. "",""How many USD wi.. "",""How confident a.. "",""How confident a.. "",""How confident a.. "",""How many financ.. "",""How would you d.. """
"Bachelor,""21"",""Male"",""The EUR will appreciate."",""1.22"",""20"",""The EUR will depreciate."",""1.18"",""20"",""The EUR will depreciate."",""1.18"",""10"",""50"",""50"",""0"",""Realist"""
","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"Bachelor,""22"",""Male"",""The EUR will appreciate."",""1.24"",""60"",""The EUR will appreciate."",""1.24"",""60"",""The EUR will appreciate."",""1.25"",""40"",""80"",""65"",""0"",""Optimist"""
"Bachelor,""19"",""Female"",""The EUR will depreciate."",""1.6"",""3"","""","""","""","""","""","""","""","""","""","""""
","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"Other,""21"",""Male"",""The EUR will appreciate."",""1.32"",""50"",""The EUR will appreciate."",""1.33"",""10"",""The EUR will appreciate."",""1.34"",""10"",""50"",""70"",""0"",""Pessimist"""
"Master,""26"",""Male"","""","""","""","""","""","""","""","""","""","""","""","""","""""
","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"Bachelor,""23"",""Female"","""","""","""","""","""","""","""","""","""","""","""","""","""""
"Other,""22"",""Female"",""The EUR will depreciate."",""1.3"",""70"",""The EUR will depreciate."",""1.3"",""60"",""The EUR will depreciate."",""1.3"",""50"",""30"",""70"",""0"",""Realist"""
"Bachelor,""21"",""Male"","""","""","""","""","""","""","""","""","""","""","""","""","""""
"Bachelor,""25"",""Male"","""","""","""","""","""","""","""","""","""","""","""","""","""""
"Bachelor,""22"",""Male"",""The EUR will appreciate."",""1.25"",""50"",""The EUR will appreciate."",""1.28"",""50"",""The EUR will appreciate."",""1.28"",""50"",""50"",""50"",""0"",""Realist"""
"Bachelor,""22"",""Male"",""The EUR will appreciate."",""0.75"",""100"","""","""","""","""","""","""","""","""","""","""""
"Bachelor,""23"",""Male"",""The EUR will appreciate."",""1.3"",""30"",""The EUR will appreciate."",""1.3"",""20"",""The EUR will depreciate."",""1.1"",""0"",""30"",""20"",""0"",""Realist"""
"Bachelor,""24"",""Male"",""The EUR will appreciate."",""1.35"",""85"",""The EUR will appreciate."",""1.45"",""70"",""The EUR will appreciate."",""1.5"",""60"",""85"",""90"",""0"",""Optimist"""
"Bachelor,""22"",""Female"",""The EUR will appreciate."",""1.7"",""67"",""The EUR will depreciate."",""1.65"",""87"",""The EUR will depreciate."",""1.6"",""70"",""40"",""40"",""0"",""Realist"""
"Bachelor,""26"",""Male"",""The EUR will appreciate."",""1"",""10"","""","""","""","""","""","""","""","""","""","""""
"Master,""23"",""Female"","""","""","""","""","""","""","""","""","""","""","""","""","""""
","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"Master,""25"",""Female"",""The EUR will depreciate."",""1.18"",""5"",""The EUR will depreciate."",""1.17"",""5"",""The EUR will depreciate."",""1.17"",""5"",""60"",""50"",""0"",""Realist"""
"Master,""25"",""Female"",""The EUR will appreciate."",""1.2"",""0"",""The EUR will appreciate."",""1.2"",""0"",""The EUR will depreciate."",""1.15"",""0"",""20"",""20"",""1"",""Realist"""
"Master,""24"",""Male"",""The EUR will appreciate."",""1.3"",""10"",""The EUR will appreciate."",""1.3"",""10"",""The EUR will appreciate."",""1.4"",""10"",""50"",""50"",""1"",""Optimist"""
","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"Master,""22"",""Male"",""The EUR will appreciate."",""1.22"",""10"",""The EUR will depreciate."",""1.1"",""20"",""The EUR will depreciate."",""1.1"",""0"",""10"",""20"",""1"",""Realist"""
"Other,""23"",""Male"",""The EUR will depreciate."",""1.2"",""65"",""The EUR will depreciate."",""1.25"",""65"",""The EUR will appreciate."",""1.12"",""65"",""50"",""65"",""1"",""Realist"""
"Bachelor,""21"",""Male"",""The EUR will depreciate."",""1.15"",""65"",""The EUR will appreciate."",""1.22"",""55"",""The EUR will appreciate."",""1.2"",""55"",""62"",""45"",""1"",""Realist"""
"Bachelor,""25"",""Male"",""The EUR will appreciate."",""1.1857"",""100"",""The EUR will appreciate."",""1.1884"",""100"",""The EUR will appreciate."",""1.1928"",""100"",""75"",""75"",""1"",""Realist"""
"Bachelor,""21"",""Male"","""","""","""","""","""","""","""","""","""","""","""","""","""""
